Course Code,INSTITUTION and COURSE,EOS,Mid,2019 Interview,2019 R1 Random
GA980,Education (Design Graphics and Construction) - Letterfrack Campus,376,389,0,0
GA981,Furniture Design and Manufacture - Letterfrack Campus,271,350,0,0
GA982,Furniture and Wood Technology - Letterfrack Campus,270,352,0,0
GY101,Arts (Joint-Honours),300,374,0,0
GY104,Arts (Psychology),507,529,0,0
GY105,Arts (History),318,358,0,0
GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),330,397,0,0
GY109,Arts (Mathematics and Education),411,487,0,0
GY110,Arts with Children's Studies,382,409,0,0
GY111,Arts with Creative Writing,402,472,0,0
GY112,Arts with Film Studies,338,370,0,0
GY113,Arts with Human Rights,338,409,0,0
GY115,Arts with Performing Arts Studies,328,367,0,0
GY118,"Arts (Drama, Theatre and Performance Studies)",410,451,0,0
GY119,Journalism,410,475,0,0
GY120,"Arts (Child, Youth and Family: Policy and Practice)",309,346,0,0
GY121,Arts (Children's Studies),356,389,0,0
GY122,Na Dána (Cumarsáid agus Gaeilge),308,399,0,0
GY123,BSc (Applied Social Sciences),357,388,0,0
GY124,Arts (Arts with Data Science),434,466,0,0
GY125,Arts (Digital Arts and Technology),324,379,0,0
GY126,Arts (English and Media Studies),418,451,0,0
GY127,Arts (Film and Digital Media),387,435,0,0
GY128,Arts (Global Languages),370,440,0,0
GY129,Arts (International),408,477,0,0
GY130,Arts (Music),400,444,0,0
GY131,Arts (History and Globalisation Studies),340,431,0,0
GY132,"Government (Politics, Economics and Law)",402,444,0,0
GY133,Education (Computer Science and Mathematical  Studies),401,466,0,0
GY201,Commerce,420,453,0,0
GY202,Commerce (International) with French,484,513,0,0
GY203,Commerce (International) with German,489,541,0,0
GY204,Commerce (International) with Spanish,484,500,0,0
GY206,Business Information Systems (Work Placement & Optional Int`l Study),431,445,0,0
GY207,Commerce (Accounting) including optional Global Experience year,486,510,0,0
GY208,Commerce (Gaeilge),473,488,0,0
GY209,Commerce (Global Experience),509,531,0,0
GY250,Law & Business,436,467,0,0
GY251,Law,473,498,0,0
GY252,Law & Human Rights,510,521,0,0
GY261,"Business Studies (International Hotel Management, Shannon)",486,615,1,0
GY262,"Commerce (International Hotel Management, Shannon)",671,726,1,0
GY301,Science,400,456,0,0
GY303,Biomedical Science,533,566,0,0
GY304,Biotechnology,473,507,0,0
GY308,Environmental Science,413,440,0,0
GY309,Financial Mathematics and Economics,454,498,0,0
GY310,Marine Science,409,456,0,0
GY313,Environmental Health and Safety,402,435,0,0
GY314,Earth and Ocean Sciences,402,425,0,0
GY318,Biopharmaceutical Chemistry,510,532,0,0
GY319,Mathematical Science,456,531,0,0
GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",401,487,0,0
GY350,Computer Science and Information Technology,425,466,0,0
GY401,Engineering (Undenominated),444,499,0,0
GY402,Civil Engineering,509,543,0,0
GY405,Mechanical Engineering,443,499,0,0
GY406,Electronic and Computer Engineering,509,547,0,0
GY408,Biomedical Engineering,519,543,0,0
GY410,Project and Construction Management,434,464,0,0
GY413,Energy Systems Engineering,532,589,0,0
GY414,Electrical and Electronic Engineering,454,487,0,0
GY501,"Medicine (five year/six year course, HPAT required)",726,731,1,1
GY502,Occupational Therapy,532,543,0,0
GY503,Speech and Language Therapy,529,543,0,0
GY504,Podiatric Medicine,434,463,0,0
GY515,General Nursing (Galway and Portiuncula),442,466,0,0
GY516,Mental Health Nursing,388,413,0,0
GY517,Midwifery,429,468,0,0
LY108,Business - Accounting,318,399,0,0
LY118,Business,287,352,0,0
LY208,Law,300,359,0,0
LY218,Business - with Spanish/Irish options,298,367,0,0
LY228,Sports and Exercise (Common Entry),278,330,0,0
LY408,Design (Common Entry),307,368,1,0
LY508,Fire Safety Engineering,270,299,0,0
LY518,Quantity Surveying,307,368,0,0
LY528,Construction Management,267,291,0,0
LY608,Mechanical Engineering,304,333,0,0
LY618,Electronics and Embedded Systems,307,339,0,0
LY708,Applied Computing,300,348,0,0
LY818,Science (Common Entry),302,371,0,0
LY828,Agriculture (Common Entry),300,342,0,0
LY908,General Nursing,383,390,0,0
LY918,Psychiatric Nursing,291,332,0,1
LY928,Intellectual Disability Nursing,288,299,0,0
LY968,"Early Childhood Care, Health and Education",300,336,0,0
LY978,Health & Social Care (Common Entry),260,299,0,0
MI001,Contemporary & Applied Theatre Studies,345,381,0,0
MI002,Arts (offered in conjunction with the University of Limerick),300,378,0,0
MI005,Education - Primary Teaching,473,506,0,1
MI006,Education - Primary Teaching (Gaeltacht Applicants),442,473,1,0
MI007,Early Childhood Care and Education,366,402,0,0
MI008,Education and Psychology - Primary Teaching,543,555,0,0
MI009,"Education, Business Studies and Accounting (Thurles Campus)",392,420,0,0
MI010,"Education, Business Studies and Religious Studies (Thurles Campus)",326,355,0,0
MI011,"Education, Irish and Religious Studies (Thurles Campus)",377,387,0,0
MI012,"Education, Irish and Business Studies (Thurles Campus)",398,440,0,0
MI013,"Education, Mathematics and Gaeilge (Thurles Campus)",433,465,0,0
CI101,Counselling and Psychotherapy (Limerick),276,328,0,0
LC110,"Art and Design (Common Entry, portfolio)",734,918,1,0
LC114,Fashion and Textiles for Product and Costume (portfolio),900,988,1,0
LC220,Digital Marketing,254,288,0,0
LC223,Law and Taxation,308,372,0,0
LC224,Accounting and Finance,299,382,0,0
LC225,Marketing and Management,298,337,0,0
LC226,Enterprise and Innovation,216,298,0,0
LC233,Software Development,300,371,0,0
LC234,Interactive Digital Media,219,288,0,0
LC236,Internet Systems Development,298,319,0,0
LC239,Computer Networks and Systems Management,335,347,0,0
LC241,Construction Management,276,303,0,0
LC242,Property Valuation and Management,292,328,0,0
LC243,Quantity Surveying,281,360,0,0
LC248,Built Environment (Common Entry),307,350,0,0
LC252,Civil Engineering Management,281,331,0,0
LC263,Clinical Technology,282,359,0,0
LC265,Forensic and Pharmaceutical Sciences,335,368,0,0
LC266,Drug and Medicinal Product Analysis,236,299,0,0
LC275,Electrical Engineering,288,340,0,0
LC288,Mechanical Engineering,307,360,0,0
LC289,Precision Engineering,280,369,0,0
LC292,Social Care Work,360,389,0,0
LC293,Business Studies with Travel and Tourism Management,299,326,0,0
LC294,Business Studies with Event Management,271,300,0,0
LC295,Business Studies with Sports Management,263,298,0,0
LC297,Community Development,217,269,0,0
LC320,Business,337,378,0,0
LC330,Business with Computing,298,326,0,0
LC340,Interior Design,298,349,0,0
LC362,Biotechnology and Biopharmaceutical Sciences,379,402,0,0
LC371,Creative Broadcast and Film Production,298,339,0,0
LC372,Music Technology and Production,321,369,0,0
LC374,Renewable and Electrical Energy Engineering,317,368,0,0
LC375,Industrial Automation & Robotic Systems,321,368,0,0
LC376,Electronic Engineering,308,346,0,0
LC380,Automotive Engineering and Transport Management,282,329,0,0
LC392,Beauty and Spa Management,217,318,0,0
LC393,Early Childhood Education & Care,260,309,0,0
LC401,Early Childhood Education & Care (Thurles),298,387,0,0
LC402,Social Care Work (Thurles),209,290,0,0
LC408,Environmental and Geographical Sciences (Thurles),262,346,0,0
LC411,Marketing and Management (Thurles),226,300,0,0
LC418,Computing - Games Design and Development (Thurles),271,318,0,0
LC422,Sports Strength and Conditioning (Thurles),288,333,0,0
LC434,Environmental Management in Agriculture (Thurles),278,347,0,0
LC502,"Game Art and Design (Clonmel, portfolio)",838,950,1,0
LC517,Creative Media and Design (Clonmel),229,273,0,0
LC518,"Digital Animation Production (Clonmel, portfolio)",816,962,1,0
LC612,Social Care Work (Ennis),319,338,0,0
LC613,Early Childhood Education & Care (Ennis),346,388,0,0
LM002,Arts (offered in conjunction with Mary Immaculate College),329,388,0,0
LM020,Law and Accounting,436,476,0,0
LM026,Performing Arts (audition required),307,367,1,0
LM028,Criminal Justice,387,409,0,0
LM029,Law Plus,473,499,0,0
LM038,Psychology and Sociology,478,489,0,0
LM039,Journalism and New Media,388,430,0,0
LM040,European Studies,350,462,0,0
LM044,Applied Languages,404,473,0,0
LM050,Business Studies,419,455,0,0
LM056,International Business,511,543,0,0
LM058,Financial Mathematics,434,543,0,0
LM063,Technology Management,372,409,0,0
LM068,Food Science and Health,400,430,0,0
LM076,Product Design and Technology (portfolio required),402,466,1,0
LM077,Aeronautical Engineering,469,531,0,0
LM082,Construction Management and Engineering,368,404,0,0
LM089,Sport and Exercise Sciences,441,466,0,0
LM090,Physical Education with concurrent Teacher Education,498,520,0,1
LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),478,509,0,0
LM093,Equine Science,338,381,0,0
LM094,Materials and Architectural Technology with concurrent Teacher Education,405,433,0,0
LM095,Materials and Engineering Technology with concurrent Teacher Education,358,409,0,0
LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),382,422,0,0
LM099,Architecture (portfolio required),419,473,1,0
LM100,Physiotherapy,565,577,0,1
LM101,Medicine  - Graduate Entry (GAMSAT required),55,57,1,1
LM102,Psychology,495,519,0,0
LM103,Paramedic Studies (B and C1 Drivers Licence),313,403,1,0
LM115,Chemical and Biochemical Engineering,456,520,0,0
LM116,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),434,498,0,0
LM118,Electronic and Computer Engineering,401,498,0,0
LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),352,420,0,0
LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),330,430,0,0
LM123,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),412,455,0,0
LM124,Mathematics (Math Science/Maths and Physics/Economics and Math Scienc,427,521,0,0
LM125,Physics (Applied Physics/Mathematics and Physics),405,509,0,0
LM150,General Nursing,440,463,0,1
LM152,Mental Health Nursing,388,418,0,0
LM154,Intellectual Disability Nursing,381,408,0,1
LM156,Midwifery,429,444,0,0
MU001,Theology and Arts,290,318,0,0
MU002,Theology,292,377,0,0
MH001,Education - Primary Teaching (Froebel),496,520,0,1
MH002,Education - Primary Teaching - Gaeltacht Applicants (Froebel),441,,1,1
MH101,Arts,316,369,0,0
MH103,Music,,367,1,0
MH106,Psychology - 3 years,495,499,0,0
MH107,Social Science,326,349,0,0
MH109,Media Studies,317,377,0,0
MH116,Community and Youth Work (Full-Time),,271,1,0
MH201,Science,350,392,0,0
MH202,Biotechnology,429,446,0,0
MH204,Physics with Astrophysics,420,488,0,0
MH206,Theoretical Physics and Mathematics,498,566,0,0
MH207,Data Science,434,466,0,0
MH208,Biological and Biomedical Sciences,451,476,0,0
MH209,Psychology (through Science) - 4 years,473,485,0,0
MH210,Pharmaceutical and Biomedical Chemistry,446,466,0,0
MH212,Science/Computer Science/Mathematics (with Education) - options,444,476,0,0
MH304,Engineering (Computer/Electronic/Communications),371,423,0,0
MH305,Product Design,358,411,0,0
MH306,Robotics and Intelligent Devices,361,424,0,0
MH401,Finance (options),352,392,0,0
MH402,Quantitative Finance,476,487,0,0
MH403,Accounting and Finance,402,432,0,0
MH404,Business (options),400,429,0,0
MH405,Equine Business,357,398,0,0
MH407,Business and Accounting,401,420,0,0
MH411,Entrepreneurship,358,388,0,0
MH501,LLB Law - four year Single Major Law programme,451,476,0,0
MH502,Law (options),410,442,0,0
MH601,Computer Science through Arts (options),342,369,0,0
MH602,Computer Science through Science (options),357,413,0,0
MH603,Computational Thinking,520,543,0,0
MH801,Early Childhood - Teaching and Learning (part-time),347,358,0,0
MH802,"Community and Youth Work (part-time, in service",,,1,0
MH803,"Local Studies or Community Studies (part-time, evening)- Mature Students",,,1,0
AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",456,497,0,1
AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",400,433,0,1
AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",421,457,0,0
AS051,"Nutrition, Food and Business Management",337,399,0,0
AS054,Home Economics,387,401,0,0
AS110,General Nursing,391,409,0,1
AS130,Intellectual Disability Nursing,317,338,0,0
SG141,Business,252,317,0,0
SG142,Business in International Marketing and Sales with French,270,388,0,0
SG144,Business in International Marketing and Sales with Spanish,280,388,0,0
SG146,Accounting,307,347,0,0
SG147,Sport with Business,269,316,0,0
SG148,Tourism with Event Management,246,282,0,0
SG149,Business in Finance and Investment,262,357,0,0
SG241,Performing Arts,279,348,0,0
SG242,Early Childhood Care and Education,278,318,0,0
SG243,Social Care Practice,297,338,0,0
SG244,Fine Art,355,496,1,0
SG245,Creative Design,261,338,0,0
SG246,Computing,295,368,0,0
SG247,English and Psychology,308,336,0,0
SG248,Sociology and Politics,282,320,0,0
SG249,Writing and Literature,279,338,0,0
SG250,Application Design and User Experience,290,431,0,0
SG251,Computing (Smart Technologies),303,391,0,0
SG252,Software Development,300,354,0,0
SG253,Computer Networks and Cloud Infrastructure,273,341,0,0
SG343,Quantity Surveying,261,302,0,0
SG346,Construction Project Management and Applied Technology,289,351,0,0
SG347,Architecture,309,357,0,0
SG441,Environmental Science,297,358,0,0
SG442,Occupational Safety and Health,289,330,0,0
SG443,Human Nutrition,357,419,0,0
SG444,Science (Undenominated),308,369,0,0
SG445,Pharmaceutical Science with Drug Development,347,369,0,0
SG446,Applied Archaeology,289,290,0,0
SG447,Health Science and Physical Activity,316,363,0,0
SG448,Forensic Investigation and Analysis,306,348,0,0
SG449,Medical Biotechnology,329,352,0,0
TL801,Animation Visual Effects and Motion Design,281,341,0,0
TL802,"TV, Radio and New Media",306,356,0,0
TL803,Music Technology,264,288,0,0
TL810,Computing with Software Development,309,341,0,0
TL811,Computing with Games Development,310,334,0,0
TL812,Computing with Digital Media,369,369,0,0
TL815,Computing (Degree Award options),308,378,0,0
TL823,Event Management (3 year programme),291,346,0,0
TL831,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),307,372,0,0
TL842,Construction Management,,,0,0
TL844,Agricultural Engineering,311,368,0,0
TL845,Civil Engineering,300,364,0,0
TL847,Manufacturing Engineering,,,0,0
TL848,Agricultural Science,331,362,0,0
TL851,Wildlife Biology (Degree Award options),310,362,0,0
TL855,Pharmaceutical Science (Degree Award options),342,386,0,0
TL858,Veterinary Bioscience,326,369,0,0
TL871,Health and Leisure (Degree Award options),303,346,0,0
TL872,Health and Leisure with Massage,288,357,0,0
TL873,Coaching and Sports Performance,282,336,0,0
TL880,Early Childhood Care and Education,307,347,0,0
TL881,Social Care,308,356,0,0
TL889,Counselling with Addiction - Mature applicants only,,,1,0
TL890,General Nursing and Mature Applicants,407,431,0,0
TL891,Mental Health Nursing and Mature Applicants,367,379,0,1
WD001,Applied Computing (options),279,358,0,0
WD002,Science (options),302,377,0,0
WD005,Health Sciences (options),288,347,0,0
WD006,Exercise Sciences (options),282,337,0,0
WD007,Engineering (options),287,382,0,0
WD025,Construction Management and Engineering,269,327,0,0
WD027,Music,290,317,1,0
WD048,Business (options),278,357,0,0
WD084,Accounting,307,403,0,0
WD091,Hospitality Management,210,281,0,0
WD116,General Nursing,413,430,0,0
WD117,Psychiatric Nursing,361,382,0,0
WD120,Intellectual Disability Nursing,338,359,0,0
WD134,International Business,289,350,0,0
WD137,Design (Visual Communications),253,373,0,0
WD140,Laws,290,352,0,0
WD144,Architecture,283,385,0,0
WD147,Pharmaceutical Science,298,363,0,0
WD148,Tourism Marketing,269,338,0,0
WD149,Early Childhood Studies,288,336,0,0
WD150,Criminal Justice Studies,271,311,0,0
WD152,Visual Art,253,323,0,0
WD161,Computer Forensics and Security,262,401,0,0
WD162,Quantity Surveying,260,320,0,0
WD163,Psychology,390,429,0,0
WD186,Sports Coaching and Performance,276,327,0,0
WD187,Social Science,271,321,0,0
WD191,Agricultural Science,378,421,0,0
WD192,Social Care Practice,279,323,0,0
WD193,Marketing and Digital Media,290,358,0,0
WD194,Culinary Arts,235,331,0,0
WD195,Architectural and Building Information Modelling Technology,266,305,0,0
WD200,Arts (options),221,296,0,0
WD210,Software Systems Development,271,329,0,0
WD211,Creative Computing,275,322,0,0
WD212,Recreation and Sport Management,274,311,0,0
WD230,Mechanical and Manufacturing Engineering,273,348,0,0
